Time [s],Channel 1
5.334937458,0
5.335053958,1
5.335169958,0
5.335286417,1
5.335402458,0
5.335518917,1
5.335634917,0
5.335751417,1
5.335867417,0
5.335983917,1
5.336099917,0
5.336216375,1
5.336332417,0
5.336448875,1
5.336564875,0
5.336681375,1
5.336797375,0
5.336913875,1
5.337031958,0
5.337150500,1
5.337268583,0
5.337387125,1
5.337505208,0
5.337623750,1
5.337741833,0
5.337860375,1
5.337978500,0
5.338097042,1
5.338215125,0
5.338333667,1
5.338451750,0
5.338570292,1
5.338688417,0
5.338806958,1
5.338925042,0
5.339043583,1
5.339161625,0
5.339280208,1
5.339398292,0
5.339516833,1
5.339634917,0
5.339753458,1
5.339871542,0
5.339990083,1
5.340108167,0
5.340226708,1
5.340344792,0
5.340463333,1
5.340581417,0
5.340699958,1
5.340818042,0
5.340936625,1
5.341054708,0
5.341173250,1
5.341291333,0
5.341409875,1
5.341527958,0
5.341646542,1
5.341764625,0
5.341883167,1
5.342001250,0
5.342119792,1
5.342237875,0
5.342356417,1
5.342474500,0
5.342593083,1
5.342711167,0
5.342829708,1
5.342947792,0
5.343066333,1
5.343184417,0
5.343302958,1
5.343421042,0
5.343539583,1
5.343657667,0
5.343776208,1
5.343894292,0
5.344012875,1
5.344130917,0
5.344249500,1
5.344367583,0
5.344486125,1
5.344604208,0
5.344722792,1
5.344840875,0
5.344959458,1
5.345077500,0
5.345196042,1
5.345314125,0
5.345432708,1
5.345550792,0
5.345669333,1
5.345787375,0
5.345905958,1
5.346024000,0
5.346142583,1
5.346260625,0
5.346379208,1
5.346497292,0
5.346615833,1
5.346733917,0
5.346852458,1
5.346970542,0
5.347089083,1
5.347207167,0
5.347325708,1
5.347443792,0
5.347562333,1
5.347680417,0
5.347798958,1
5.347917042,0
5.348035583,1
5.348153667,0
5.348272208,1
5.348390292,0
5.348508833,1
5.348629000,0
5.348749667,1
5.348869792,0
5.348990458,1
5.349110625,0
5.349231250,1
5.349351417,0
5.349472042,1
5.349592208,0
5.349712833,1
5.349833000,0
5.349953625,1
5.350073792,0
5.350194417,1
5.350314583,0
5.350435250,1
5.350555417,0
5.350676042,1
5.350796208,0
5.350916833,1
5.351037000,0
5.351157667,1
5.351277792,0
5.351398458,1
5.351518625,0
5.351639250,1
5.351759417,0
5.351880083,1
5.352000208,0
5.352120875,1
5.352241042,0
5.352361667,1
5.352481833,0
5.352602458,1
5.352722625,0
5.352843250,1
5.352963417,0
5.353084083,1
5.353204250,0
5.353324875,1
5.353445042,0
5.353565667,1
5.353685833,0
5.353806500,1
5.353926667,0
5.354047292,1
5.354167417,0
5.354288083,1
5.354408250,0
5.354528875,1
5.354649000,0
5.354769667,1
5.354889792,0
5.355010417,1
5.355130583,0
5.355251250,1
5.355371375,0
5.355492042,1
5.355612208,0
5.355732833,1
5.355853000,0
5.355973625,1
5.356093792,0
5.356214417,1
5.356334583,0
5.356455208,1
5.356575375,0
5.356696000,1
5.356816125,0
5.356936792,1
5.357056917,0
5.357177583,1
5.357297750,0
5.357418375,1
5.357538500,0
5.357659167,1
5.357779333,0
5.357899958,1
5.358020083,0
5.358140750,1
5.358260917,0
5.358381542,1
5.358501708,0
5.358622333,1
5.358742500,0
5.358863125,1
5.358983292,0
5.359103917,1
5.359224083,0
5.359344708,1
5.359464875,0
5.359585500,1
5.359707750,0
5.359830458,1
5.359952667,0
5.360075375,1
5.360197625,0
5.360320333,1
5.360442542,0
5.360565292,1
5.360687500,0
5.360810250,1
5.360932458,0
5.361055208,1
5.361177417,0
5.361300125,1
5.361422375,0
5.361545083,1
5.361667333,0
5.361790042,1
5.361912250,0
5.362035000,1
5.362157208,0
5.362279917,1
5.362402125,0
5.362524875,1
5.362647083,0
5.362769833,1
5.362892042,0
5.363014750,1
5.363137000,0
5.363259708,1
5.363381917,0
5.363504667,1
5.363626875,0
5.363749625,1
5.363871833,0
5.363994542,1
5.364116792,0
5.364239500,1
5.364361708,0
5.364484458,1
5.364606667,0
5.364729375,1
5.364851625,0
5.364974333,1
5.365096542,0
5.365219250,1
5.365341500,0
5.365464208,1
5.365586417,0
5.365709125,1
5.365831375,0
5.365954083,1
5.366076292,0
5.366199000,1
5.366321250,0
5.366443958,1
5.366566167,0
5.366688875,1
5.366811083,0
5.366933792,1
5.367056042,0
5.367178750,1
5.367300958,0
5.367423667,1
5.367545917,0
5.367668625,1
5.367790833,0
5.367913542,1
5.368035750,0
5.368158458,1
5.368280708,0
5.368403417,1
5.368525625,0
5.368648333,1
5.368770542,0
5.368893250,1
5.369015458,0
5.369138167,1
5.369260417,0
5.369383125,1
5.369505375,0
5.369628083,1
5.369750292,0
5.369873000,1
5.369995250,0
5.370117958,1
5.370240167,0
5.370362875,1
5.370485125,0
5.370607833,1
5.370732125,0
5.370856917,1
5.370981250,0
5.371106042,1
5.371230333,0
5.371355125,1
5.371479417,0
5.371604167,1
5.371728458,0
5.371853250,1
5.371977542,0
5.372102333,1
5.372226625,0
5.372351417,1
5.372475708,0
5.372600500,1
5.372724792,0
5.372849583,1
5.372973875,0
5.373098667,1
5.373222958,0
5.373347750,1
5.373472042,0
5.373596833,1
5.373721125,0
5.373845958,1
5.373970250,0
5.374095042,1
5.374219333,0
5.374344125,1
5.374468417,0
5.374593208,1
5.374717500,0
5.374842292,1
5.374966625,0
5.375091417,1
5.375215708,0
5.375340500,1
5.375464792,0
5.375589583,1
5.375713875,0
5.375838667,1
5.375962958,0
5.376087750,1
5.376212083,0
5.376336875,1
5.376461167,0
5.376585958,1
5.376710250,0
5.376835042,1
5.376959333,0
5.377084125,1
5.377208458,0
5.377333250,1
5.377457542,0
5.377582333,1
5.377706625,0
5.377831417,1
5.377955708,0
5.378080500,1
5.378204792,0
5.378329583,1
5.378453875,0
5.378578667,1
5.378702958,0
5.378827750,1
5.378952042,0
5.379076833,1
5.379201125,0
5.379325917,1
5.379450208,0
5.379575000,1
5.379699292,0
5.379824083,1
5.379948375,0
5.380073167,1
5.380197458,0
5.380322250,1
5.380446542,0
5.380571333,1
5.380695625,0
5.380820417,1
5.380944708,0
5.381069500,1
5.381193792,0
5.381318583,1
5.381442875,0
5.381567667,1
5.381694000,0
5.381820875,1
5.381947250,0
5.382074125,1
5.382200458,0
5.382327333,1
5.382453708,0
5.382580583,1
5.382706958,0
5.382833833,1
5.382960167,0
5.383087042,1
5.383213417,0
5.383340292,1
5.383466625,0
5.383593500,1
5.383719875,0
5.383846750,1
5.383973125,0
5.384100000,1
5.384226375,0
5.384353250,1
5.384479583,0
5.384606458,1
5.384732833,0
5.384859708,1
5.384986083,0
5.385112958,1
5.385239333,0
5.385366208,1
5.385492583,0
5.385619417,1
5.385745792,0
5.385872667,1
5.385999042,0
5.386125917,1
5.386252250,0
5.386379125,1
5.386505500,0
5.386632375,1
5.386758708,0
5.386885583,1
5.387011958,0
5.387138792,1
5.387265167,0
5.387392042,1
5.387518417,0
5.387645292,1
5.387771667,0
5.387898500,1
5.388024875,0
5.388151750,1
5.388278125,0
5.388404958,1
5.388531333,0
5.388658208,1
5.388784542,0
5.388911417,1
5.389037792,0
5.389164667,1
5.389291000,0
5.389417917,1
5.389544250,0
5.389671125,1
5.389797500,0
5.389924375,1
5.390050750,0
5.390177625,1
5.390303958,0
5.390430833,1
5.390557167,0
5.390684042,1
5.390810417,0
5.390937250,1
5.391063625,0
5.391190500,1
5.391316875,0
5.391443708,1
5.391570083,0
5.391696917,1
5.391823292,0
5.391950167,1
5.392076542,0
5.392203417,1
5.392331833,0
5.392460792,1
5.392589208,0
5.392718167,1
5.392846583,0
5.392975542,1
5.393103958,0
5.393232917,1
5.393361333,0
5.393490292,1
5.393618750,0
5.393747667,1
5.393876125,0
5.394005042,1
5.394133500,0
5.394262417,1
5.394390875,0
5.394519833,1
5.394648250,0
5.394777208,1
5.394905625,0
5.395034542,1
5.395162958,0
5.395291917,1
5.395420333,0
5.395549292,1
5.395677708,0
